text,specialist,type
Seene ke bich mein bhaari-pan sa mehsoos hota hai jab tez chalta hoon.,Cardiologist (Heart),Original
"Achanak dil bahut zor se dhadakne lagta hai, phir apne aap theek ho jata hai.",Cardiologist (Heart),Original
Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.,Cardiologist (Heart),Original
Sidhi seedhi chadhte hi saans phoolne lagti hai aur chest tight lagta hai.,Cardiologist (Heart),Original
Raat ko sote waqt achanak ghabrahat ho jaati hai aur dil tez chalta hai.,Cardiologist (Heart),Original
"Doctor ne bataya BP bahut high hai, sar bhi bhaari rehta hai.",Cardiologist (Heart),Original
Thodi si mehnat karte hi thakaan aur chest mein jakadan feel hoti hai.,Cardiologist (Heart),Original
"Ankle aur pairon mein soojan aa gayi hai, saans bhi phool jaati hai lete waqt.",Cardiologist (Heart),Original
"Cholesterol report mein sab values high aayi hain, koi symptom nahi tha pehle.",Cardiologist (Heart),Original
"Chest mein jalan si hoti hai jo lagta hai gas nahi hai, kuch aur hai.",Cardiologist (Heart),Original
"Palpitations hoti hain, jaise dil ek beat miss kar deta hai.",Cardiologist (Heart),Original
"Family mein heart disease history hai, mujhe bhi checkup karana hai.",Cardiologist (Heart),Original
Chalte chalte pairo mein dard hota hai jo rukne se turant theek ho jata hai.,Cardiologist (Heart),Original
"Bahut pasina aa raha tha aur chest mein bhari darad, ghabra gaya tha.",Cardiologist (Heart),Original
dil ka doctor chahiye,Cardiologist (Heart),Specialist Term
heart specialist se milna hai,Cardiologist (Heart),Specialist Term
cardiac doctor ko dikhana hai,Cardiologist (Heart),Specialist Term
dil ki bimari ka daktar,Cardiologist (Heart),Specialist Term
heart checkup karwana hai,Cardiologist (Heart),Specialist Term
seene mein dard,Cardiologist (Heart),Keyword Phrase
chest pain,Cardiologist (Heart),Keyword Phrase
dil ki dhadkan tez,Cardiologist (Heart),Keyword Phrase
heart attack jaisa,Cardiologist (Heart),Keyword Phrase
saans phoolna,Cardiologist (Heart),Keyword Phrase
BP high,Cardiologist (Heart),Keyword Phrase
cholesterol zyada,Cardiologist (Heart),Keyword Phrase
dil ghabrana,Cardiologist (Heart),Keyword Phrase
Poore body par laal daane nikal aaye hain jinme bahut khujli hoti hai.,Dermatologist (Skin),Original
"Face par acne aur pimples bahut badh gaye hain, marks bhi reh jaate hain.",Dermatologist (Skin),Original
Skin bahut dry ho gayi hai aur jagah jagah patches pad gaye hain.,Dermatologist (Skin),Original
"Baal bahut zyada jhad rahe hain, kanghi karte waqt mutthi bhar aa jaate hain.",Dermatologist (Skin),Original
Kisi cream ya soap se skin par turant rash ho jata hai.,Dermatologist (Skin),Original
Naakhoon ka colour yellow ho gaya hai aur mota bhi ho gaya hai.,Dermatologist (Skin),Original
"Ghutno aur cheston par gol gol chakatte ban gaye hain, khujli bhi hoti hai.",Dermatologist (Skin),Original
"Underarms aur groin mein fungal infection jaisa lag raha hai, bahut khujli.",Dermatologist (Skin),Original
Achanak poore chehre par sujan aa gayi allergy se lagta hai.,Dermatologist (Skin),Original
Skin par white patches ban rahe hain jo dheere dheere fail rahe hain.,Dermatologist (Skin),Original
Bohot zyada pasina aata hai aur usse skin mein irritation ho jaati hai.,Dermatologist (Skin),Original
Muhaso ke baad skin par gehre daag reh jaate hain jo jaate nahi.,Dermatologist (Skin),Original
skin specialist chahiye,Dermatologist (Skin),Specialist Term
twacha rog ka doctor,Dermatologist (Skin),Specialist Term
dermatologist ko dikhana hai,Dermatologist (Skin),Specialist Term
skin ka daktar,Dermatologist (Skin),Specialist Term
skin par khujli,Dermatologist (Skin),Keyword Phrase
daane nikal aaye,Dermatologist (Skin),Keyword Phrase
rashes,Dermatologist (Skin),Keyword Phrase
baal jhad rahe hain,Dermatologist (Skin),Keyword Phrase
