text,specialist,type
Operation se pehle anesthesia ke baare mein doctor se baat karni hai.,Anaesthesiologist,Original
Operation se pehle anesthesia ke baare mein daktar se baat karni hai.,Anaesthesiologist,Spelling Variation of: Operation se pehle anesthesia ke baare mein doctor se baat karni hai.
Operation se pehle anesthesia ke baare mein docter se baat karni hai.,Anaesthesiologist,Spelling Variation of: Operation se pehle anesthesia ke baare mein doctor se baat karni hai.
Operation se pehle anesthesia ke baare mem doctor se baat karni hai.,Anaesthesiologist,Spelling Variation of: Operation se pehle anesthesia ke baare mein doctor se baat karni hai.
Operation se pehle anesthesia ke baare mein doctor se baat karni ha.,Anaesthesiologist,Spelling Variation of: Operation se pehle anesthesia ke baare mein doctor se baat karni hai.
"Pichli baar anesthesia se ulti hui thi, is baar precaution leni hai.",Anaesthesiologist,Original
"Pichli baar anesthesia se ulti hui thi, is baar precaution leni ha.",Anaesthesiologist,"Spelling Variation of: Pichli baar anesthesia se ulti hui thi, is baar precaution leni hai."
Surgery ke doraan behosh karne wale doctor se milna hai pehle.,Anaesthesiologist,Original
Surgery ke doraan behosh karne wale daktar se milna hai pehle.,Anaesthesiologist,Spelling Variation of: Surgery ke doraan behosh karne wale doctor se milna hai pehle.
Surgery ke doraan behosh karne wale docter se milna hai pehle.,Anaesthesiologist,Spelling Variation of: Surgery ke doraan behosh karne wale doctor se milna hai pehle.
Surgery ke doraan behosh karne wale doctor se milna ha pehle.,Anaesthesiologist,Spelling Variation of: Surgery ke doraan behosh karne wale doctor se milna hai pehle.
"Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko.",Anaesthesiologist,Original
"Anesthesia ka asar utarne mein bohot time lagta hai mujhe, batana hai unko.",Anaesthesiologist,"Spelling Variation of: Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko."
"Anesthesia ka asar utarne mein bahot time lagta hai mujhe, batana hai unko.",Anaesthesiologist,"Spelling Variation of: Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko."
"Anesthesia ka asar utarne mein kaafi time lagta hai mujhe, batana hai unko.",Anaesthesiologist,"Variation of: Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko."
"Anesthesia ka asar utarne mem bahut time lagta hai mujhe, batana hai unko.",Anaesthesiologist,"Spelling Variation of: Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko."
"Anesthesia ka asar utarne mein bahut time lagta ha mujhe, batana ha unko.",Anaesthesiologist,"Spelling Variation of: Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko."
"Delivery ke liye epidural lena hai ya nahi, samajh nahi aa raha.",Anaesthesiologist,Original
"Delivery ke liye epidural lena hai ya nahin, samajh nahi aa raha.",Anaesthesiologist,"Spelling Variation of: Delivery ke liye epidural lena hai ya nahi, samajh nahi aa raha."
"Delivery ke liye epidural lena hai ya nhi, samajh nahi aa raha.",Anaesthesiologist,"Spelling Variation of: Delivery ke liye epidural lena hai ya nahi, samajh nahi aa raha."
"Delivery ke liye epidural lena ha ya nahi, samajh nahi aa raha.",Anaesthesiologist,"Spelling Variation of: Delivery ke liye epidural lena hai ya nahi, samajh nahi aa raha."
"Kamar mein spinal anesthesia dena hai operation ke liye, doubts hain kuch.",Anaesthesiologist,Original
"Kamar me spinal anesthesia dena hai operation ke liye, doubts hain kuch.",Anaesthesiologist,"Spelling Variation of: Kamar mein spinal anesthesia dena hai operation ke liye, doubts hain kuch."
"Kamar mem spinal anesthesia dena hai operation ke liye, doubts hain kuch.",Anaesthesiologist,"Spelling Variation of: Kamar mein spinal anesthesia dena hai operation ke liye, doubts hain kuch."
"Kamar mein spinal anesthesia dena ha operation ke liye, doubts hain kuch.",Anaesthesiologist,"Spelling Variation of: Kamar mein spinal anesthesia dena hai operation ke liye, doubts hain kuch."
Anesthesia se allergy hai kya check karna hai operation se pehle.,Anaesthesiologist,Original
Anesthesia se allergy ha kya check karna ha operation se pehle.,Anaesthesiologist,Spelling Variation of: Anesthesia se allergy hai kya check karna hai operation se pehle.
Local anesthesia mein hi chhota operation ho sakta hai kya poochna hai.,Anaesthesiologist,Original
Local anesthesia me hi chhota operation ho sakta hai kya poochna hai.,Anaesthesiologist,Spelling Variation of: Local anesthesia mein hi chhota operation ho sakta hai kya poochna hai.
Local anesthesia mem hi chhota operation ho sakta hai kya poochna hai.,Anaesthesiologist,Spelling Variation of: Local anesthesia mein hi chhota operation ho sakta hai kya poochna hai.
Local anesthesia mein hi chhota operation ho sakta ha kya poochna ha.,Anaesthesiologist,Spelling Variation of: Local anesthesia mein hi chhota operation ho sakta hai kya poochna hai.
Pain management ke liye anesthesia specialist se consultation chahiye.,Anaesthesiologist,Original
Pain management ke liye anesthesia specialist se consultation chaiye.,Anaesthesiologist,Spelling Variation of: Pain management ke liye anesthesia specialist se consultation chahiye.
Pain management ke liye anesthesia specialist se consultation chahye.,Anaesthesiologist,Spelling Variation of: Pain management ke liye anesthesia specialist se consultation chahiye.
Pain management ke liye anesthesia specialist se consultation zaroorat hai.,Anaesthesiologist,Variation of: Pain management ke liye anesthesia specialist se consultation chahiye.
"General anesthesia diya jayega ya sirf sunn karenge, ye janna hai operation se pehle.",Anaesthesiologist,Original
"General anesthesia diya jayega ya sirf sunn karenge, ye janna ha operation se pehle.",Anaesthesiologist,"Spelling Variation of: General anesthesia diya jayega ya sirf sunn karenge, ye janna hai operation se pehle."
"Meri maa ko heart ki problem hai, unhe anesthesia dena safe hoga kya operation mein.",Anaesthesiologist,Original
"Meri maa ko heart ki problem hai, unhe anesthesia dena safe hoga kya operation me.",Anaesthesiologist,"Spelling Variation of: Meri maa ko heart ki problem hai, unhe anesthesia dena safe hoga kya operation mein."
"Meri maa ko heart ki problem hai, unhe anesthesia dena safe hoga kya operation mem.",Anaesthesiologist,"Spelling Variation of: Meri maa ko heart ki problem hai, unhe anesthesia dena safe hoga kya operation mein."
"Meri maa ko heart ki problem ha, unhe anesthesia dena safe hoga kya operation mein.",Anaesthesiologist,"Spelling Variation of: Meri maa ko heart ki problem hai, unhe anesthesia dena safe hoga kya operation mein."
"Bache ko chhote operation ke liye anesthesia denge, kitna risk hota hai puchna hai.",Anaesthesiologist,Original
"Bache ko chhote operation ke liye anesthesia denge, kitna risk hota ha puchna ha.",Anaesthesiologist,"Spelling Variation of: Bache ko chhote operation ke liye anesthesia denge, kitna risk hota hai puchna hai."
Anesthesia lene ke kitne ghante pehle khana peena band karna hai.,Anaesthesiologist,Original
Anesthesia lene ke kitne ghante pehle khana peena band karna ha.,Anaesthesiologist,Spelling Variation of: Anesthesia lene ke kitne ghante pehle khana peena band karna hai.
"Operation ke baad dard kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai.",Anaesthesiologist,Original
"Operation ke baad darad kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai.",Anaesthesiologist,"Spelling Variation of: Operation ke baad dard kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai."
"Operation ke baad takleef kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai.",Anaesthesiologist,"Variation of: Operation ke baad dard kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai."
"Operation ke baad dard kam karne ke liye kaunsi anesthesia use hogi, discuss karna ha.",Anaesthesiologist,"Spelling Variation of: Operation ke baad dard kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai."
"Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai.",Anaesthesiologist,Original
"Pichli surgery me anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai.",Anaesthesiologist,"Spelling Variation of: Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai."
"Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag rha hai.",Anaesthesiologist,"Spelling Variation of: Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai."
anesthesia doctor se milna hai,Anaesthesiologist,Specialist Term
anesthesia daktar se milna hai,Anaesthesiologist,Spelling Variation of: anesthesia doctor se milna hai
anesthesia docter se milna hai,Anaesthesiologist,Spelling Variation of: anesthesia doctor se milna hai
anaesthesiologist ko dikhana hai,Anaesthesiologist,Specialist Term
behoshi wale doctor se baat karni hai,Anaesthesiologist,Specialist Term
behoshi wale daktar se baat karni hai,Anaesthesiologist,Spelling Variation of: behoshi wale doctor se baat karni hai
behoshi wale docter se baat karni hai,Anaesthesiologist,Spelling Variation of: behoshi wale doctor se baat karni hai
pain management specialist chahiye,Anaesthesiologist,Specialist Term
pain management specialist chaiye,Anaesthesiologist,Spelling Variation of: pain management specialist chahiye
pain management specialist chahye,Anaesthesiologist,Spelling Variation of: pain management specialist chahiye
operation se pehle anesthesia consult chahiye,Anaesthesiologist,Specialist Term
operation se pehle anesthesia consult chaiye,Anaesthesiologist,Spelling Variation of: operation se pehle anesthesia consult chahiye
operation se pehle anesthesia consult chahye,Anaesthesiologist,Spelling Variation of: operation se pehle anesthesia consult chahiye
anesthesia,Anaesthesiologist,Keyword Phrase
operation se pehle,Anaesthesiologist,Keyword Phrase
behosh karna,Anaesthesiologist,Keyword Phrase
pre-op consultation,Anaesthesiologist,Keyword Phrase
epidural,Anaesthesiologist,Keyword Phrase
spinal block,Anaesthesiologist,Keyword Phrase
"Pichli surgery mem anesthesia se saans lene mem dikkat hui thi, is baar dar lag raha hai.",Anaesthesiologist,"Spelling Variation of: Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai."
"Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha ha.",Anaesthesiologist,"Spelling Variation of: Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai."
Operation se pehle mujhe behosh karne wale doctor (sedation) se milna hai.,Anaesthesiologist,Original
Operation se pehle mujhe behosh karne wale doctor (sedation) se milna ha.,Anaesthesiologist,Spelling Variation of: Operation se pehle mujhe behosh karne wale doctor (sedation) se milna hai.
Purane back pain ke liye mujhe nerve block ka injection lagwana hai.,Anaesthesiologist,Original
Purane back pain ke liye mujhe nerve block ka injection lagwana ha.,Anaesthesiologist,Spelling Variation of: Purane back pain ke liye mujhe nerve block ka injection lagwana hai.
Meri spinal cord surgery honi hai aur mujhe lower body sunn karne ke process ko samajhna hai.,Anaesthesiologist,Original
Meri spine surgery honi hai aur mujhe lower body sunn karne ke process ko samajhna hai.,Anaesthesiologist,Spelling Variation of: Meri spinal cord surgery honi hai aur mujhe lower body sunn karne ke process ko samajhna hai.
Operation theatre me le jane se pehle mujhe general anesthesia ka risk discuss karna hai.,Anaesthesiologist,Variation of: Meri spinal cord surgery honi hai aur mujhe lower body sunn karne ke process ko samajhna hai.
Meri spinal cord surgery honi ha aur mujhe lower body sunn karne ke process ko samajhna ha.,Anaesthesiologist,Spelling Variation of: Meri spinal cord surgery honi hai aur mujhe lower body sunn karne ke process ko samajhna hai.
Baccha operation se pehle bohot dar raha hai aur ghabrahat me ro raha hai.,Anaesthesiologist,Original
Baccha operation se pehle bohot dar raha ha aur ghabrahat me ro raha ha.,Anaesthesiologist,Spelling Variation of: Baccha operation se pehle bohot dar raha hai aur ghabrahat me ro raha hai.
"Delivery ke time pe asahniya dard ho raha hai, kamar me sunn karne wala (epidural) injection chahiye.",Anaesthesiologist,Original
"Delivery ke time pe asahniya dard ho raha ha, kamar me sunn karne wala (epidural) injection chahiye.",Anaesthesiologist,"Spelling Variation of: Delivery ke time pe asahniya dard ho raha hai, kamar me sunn karne wala (epidural) injection chahiye."
Operation ke baad dadaji behoshi se theek se bahar nahi aa rahe aur behki baatein kar rahe hain.,Anaesthesiologist,Original
Behoshi wale doctor.,Anaesthesiologist,Original
Sunn karne wale doctor.,Anaesthesiologist,Original
Operation se pehle sui dene wale doctor.,Anaesthesiologist,Original
Seene ke bich mein bhaari-pan sa mehsoos hota hai jab tez chalta hoon.,Cardiologist (Heart),Original
Seene ke bich me bhaari-pan sa mehsoos hota hai jab tez chalta hoon.,Cardiologist (Heart),Spelling Variation of: Seene ke bich mein bhaari-pan sa mehsoos hota hai jab tez chalta hoon.
Seene ke bich mem bhaari-pan sa mehsoos hota hai jab tez chalta hoon.,Cardiologist (Heart),Spelling Variation of: Seene ke bich mein bhaari-pan sa mehsoos hota hai jab tez chalta hoon.
Seene ke bich mein bhaari-pan sa mehsoos hota ha jab tez chalta hoon.,Cardiologist (Heart),Spelling Variation of: Seene ke bich mein bhaari-pan sa mehsoos hota hai jab tez chalta hoon.
"Achanak dil bahut zor se dhadakne lagta hai, phir apne aap theek ho jata hai.",Cardiologist (Heart),Original
"Achanak dil bohot zor se dhadakne lagta hai, phir apne aap theek ho jata hai.",Cardiologist (Heart),"Spelling Variation of: Achanak dil bahut zor se dhadakne lagta hai, phir apne aap theek ho jata hai."
"Achanak dil bahot zor se dhadakne lagta hai, phir apne aap theek ho jata hai.",Cardiologist (Heart),"Spelling Variation of: Achanak dil bahut zor se dhadakne lagta hai, phir apne aap theek ho jata hai."
"Achanak dil kaafi zor se dhadakne lagta hai, phir apne aap theek ho jata hai.",Cardiologist (Heart),"Variation of: Achanak dil bahut zor se dhadakne lagta hai, phir apne aap theek ho jata hai."
"Achanak dil bahut zor se dhadakne lagta ha, phir apne aap theek ho jata ha.",Cardiologist (Heart),"Spelling Variation of: Achanak dil bahut zor se dhadakne lagta hai, phir apne aap theek ho jata hai."
Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.,Cardiologist (Heart),Original
Left arm mein ajeeb sa darad hota hai jo chest se shuru hota hai.,Cardiologist (Heart),Spelling Variation of: Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.
Left arm me ajeeb sa dard hota hai jo chest se shuru hota hai.,Cardiologist (Heart),Spelling Variation of: Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.
Left arm mein ajeeb sa takleef hota hai jo chest se shuru hota hai.,Cardiologist (Heart),Variation of: Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.
Left arm mem ajeeb sa dard hota hai jo chest se shuru hota hai.,Cardiologist (Heart),Spelling Variation of: Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.
Left arm mein ajeeb sa dard hota ha jo chest se shuru hota ha.,Cardiologist (Heart),Spelling Variation of: Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.
Sidhi seedhi chadhte hi saans phoolne lagti hai aur chest tight lagta hai.,Cardiologist (Heart),Original
Sidhi seedhi chadhte hi saans phoolne lagti ha aur chest tight lagta ha.,Cardiologist (Heart),Spelling Variation of: Sidhi seedhi chadhte hi saans phoolne lagti hai aur chest tight lagta hai.
Raat ko sote waqt achanak ghabrahat ho jaati hai aur dil tez chalta hai.,Cardiologist (Heart),Original
Raat ko sote waqt achanak ghabrahat ho jaati ha aur dil tez chalta ha.,Cardiologist (Heart),Spelling Variation of: Raat ko sote waqt achanak ghabrahat ho jaati hai aur dil tez chalta hai.
"Doctor ne bataya BP bahut high hai, sar bhi bhaari rehta hai.",Cardiologist (Heart),Original
