text,specialist,type
Operation se pehle anesthesia ke baare mein doctor se baat karni hai.,Anaesthesiologist,Original
Operation se pehle anesthesia ke baare mein daktar se baat karni hai.,Anaesthesiologist,Spelling Variation of: Operation se pehle anesthesia ke baare mein doctor se baat karni hai.
Operation se pehle anesthesia ke baare mein docter se baat karni hai.,Anaesthesiologist,Spelling Variation of: Operation se pehle anesthesia ke baare mein doctor se baat karni hai.
"Pichli baar anesthesia se ulti hui thi, is baar precaution leni hai.",Anaesthesiologist,Original
Surgery ke doraan behosh karne wale doctor se milna hai pehle.,Anaesthesiologist,Original
Surgery ke doraan behosh karne wale daktar se milna hai pehle.,Anaesthesiologist,Spelling Variation of: Surgery ke doraan behosh karne wale doctor se milna hai pehle.
Surgery ke doraan behosh karne wale docter se milna hai pehle.,Anaesthesiologist,Spelling Variation of: Surgery ke doraan behosh karne wale doctor se milna hai pehle.
"Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko.",Anaesthesiologist,Original
"Anesthesia ka asar utarne mein bohot time lagta hai mujhe, batana hai unko.",Anaesthesiologist,"Spelling Variation of: Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko."
"Anesthesia ka asar utarne mein bahot time lagta hai mujhe, batana hai unko.",Anaesthesiologist,"Spelling Variation of: Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko."
"Anesthesia ka asar utarne mein kaafi time lagta hai mujhe, batana hai unko.",Anaesthesiologist,"Variation of: Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko."
"Delivery ke liye epidural lena hai ya nahi, samajh nahi aa raha.",Anaesthesiologist,Original
"Delivery ke liye epidural lena hai ya nahin, samajh nahi aa raha.",Anaesthesiologist,"Spelling Variation of: Delivery ke liye epidural lena hai ya nahi, samajh nahi aa raha."
"Delivery ke liye epidural lena hai ya nhi, samajh nahi aa raha.",Anaesthesiologist,"Spelling Variation of: Delivery ke liye epidural lena hai ya nahi, samajh nahi aa raha."
"Kamar mein spinal anesthesia dena hai operation ke liye, doubts hain kuch.",Anaesthesiologist,Original
"Kamar me spinal anesthesia dena hai operation ke liye, doubts hain kuch.",Anaesthesiologist,"Spelling Variation of: Kamar mein spinal anesthesia dena hai operation ke liye, doubts hain kuch."
Anesthesia se allergy hai kya check karna hai operation se pehle.,Anaesthesiologist,Original
Local anesthesia mein hi chhota operation ho sakta hai kya poochna hai.,Anaesthesiologist,Original
Local anesthesia me hi chhota operation ho sakta hai kya poochna hai.,Anaesthesiologist,Spelling Variation of: Local anesthesia mein hi chhota operation ho sakta hai kya poochna hai.
Pain management ke liye anesthesia specialist se consultation chahiye.,Anaesthesiologist,Original
Pain management ke liye anesthesia specialist se consultation chaiye.,Anaesthesiologist,Spelling Variation of: Pain management ke liye anesthesia specialist se consultation chahiye.
Pain management ke liye anesthesia specialist se consultation chahye.,Anaesthesiologist,Spelling Variation of: Pain management ke liye anesthesia specialist se consultation chahiye.
Pain management ke liye anesthesia specialist se consultation zaroorat hai.,Anaesthesiologist,Variation of: Pain management ke liye anesthesia specialist se consultation chahiye.
"General anesthesia diya jayega ya sirf sunn karenge, ye janna hai operation se pehle.",Anaesthesiologist,Original
"Meri maa ko heart ki problem hai, unhe anesthesia dena safe hoga kya operation mein.",Anaesthesiologist,Original
"Meri maa ko heart ki problem hai, unhe anesthesia dena safe hoga kya operation me.",Anaesthesiologist,"Spelling Variation of: Meri maa ko heart ki problem hai, unhe anesthesia dena safe hoga kya operation mein."
"Bache ko chhote operation ke liye anesthesia denge, kitna risk hota hai puchna hai.",Anaesthesiologist,Original
Anesthesia lene ke kitne ghante pehle khana peena band karna hai.,Anaesthesiologist,Original
"Operation ke baad dard kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai.",Anaesthesiologist,Original
"Operation ke baad darad kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai.",Anaesthesiologist,"Spelling Variation of: Operation ke baad dard kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai."
"Operation ke baad takleef kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai.",Anaesthesiologist,"Variation of: Operation ke baad dard kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai."
"Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai.",Anaesthesiologist,Original
"Pichli surgery me anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai.",Anaesthesiologist,"Spelling Variation of: Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai."
"Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag rha hai.",Anaesthesiologist,"Spelling Variation of: Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai."
anesthesia doctor se milna hai,Anaesthesiologist,Specialist Term
anesthesia daktar se milna hai,Anaesthesiologist,Spelling Variation of: anesthesia doctor se milna hai
anesthesia docter se milna hai,Anaesthesiologist,Spelling Variation of: anesthesia doctor se milna hai
anaesthesiologist ko dikhana hai,Anaesthesiologist,Specialist Term
behoshi wale doctor se baat karni hai,Anaesthesiologist,Specialist Term
behoshi wale daktar se baat karni hai,Anaesthesiologist,Spelling Variation of: behoshi wale doctor se baat karni hai
behoshi wale docter se baat karni hai,Anaesthesiologist,Spelling Variation of: behoshi wale doctor se baat karni hai
pain management specialist chahiye,Anaesthesiologist,Specialist Term
pain management specialist chaiye,Anaesthesiologist,Spelling Variation of: pain management specialist chahiye
pain management specialist chahye,Anaesthesiologist,Spelling Variation of: pain management specialist chahiye
operation se pehle anesthesia consult chahiye,Anaesthesiologist,Specialist Term
operation se pehle anesthesia consult chaiye,Anaesthesiologist,Spelling Variation of: operation se pehle anesthesia consult chahiye
operation se pehle anesthesia consult chahye,Anaesthesiologist,Spelling Variation of: operation se pehle anesthesia consult chahiye
anesthesia,Anaesthesiologist,Keyword Phrase
operation se pehle,Anaesthesiologist,Keyword Phrase
behosh karna,Anaesthesiologist,Keyword Phrase
pre-op consultation,Anaesthesiologist,Keyword Phrase
epidural,Anaesthesiologist,Keyword Phrase
spinal block,Anaesthesiologist,Keyword Phrase
Operation se pehle mujhe behosh karne wale doctor (sedation) se milna hai.,Anaesthesiologist,Original
Purane back pain ke liye mujhe nerve block ka injection lagwana hai.,Anaesthesiologist,Original
Meri spinal cord surgery honi hai aur mujhe lower body sunn karne ke process ko samajhna hai.,Anaesthesiologist,Original
Meri spine surgery honi hai aur mujhe lower body sunn karne ke process ko samajhna hai.,Anaesthesiologist,Spelling Variation of: Meri spinal cord surgery honi hai aur mujhe lower body sunn karne ke process ko samajhna hai.
Operation theatre me le jane se pehle mujhe general anesthesia ka risk discuss karna hai.,Anaesthesiologist,Variation of: Meri spinal cord surgery honi hai aur mujhe lower body sunn karne ke process ko samajhna hai.
Baccha operation se pehle bohot dar raha hai aur ghabrahat me ro raha hai.,Anaesthesiologist,Original
"Delivery ke time pe asahniya dard ho raha hai, kamar me sunn karne wala (epidural) injection chahiye.",Anaesthesiologist,Original
Operation ke baad dadaji behoshi se theek se bahar nahi aa rahe aur behki baatein kar rahe hain.,Anaesthesiologist,Original
Behoshi wale doctor.,Anaesthesiologist,Original
Sunn karne wale doctor.,Anaesthesiologist,Original
Operation se pehle sui dene wale doctor.,Anaesthesiologist,Original
Seene ke bich mein bhaari-pan sa mehsoos hota hai jab tez chalta hoon.,Cardiologist (Heart),Original
Seene ke bich me bhaari-pan sa mehsoos hota hai jab tez chalta hoon.,Cardiologist (Heart),Spelling Variation of: Seene ke bich mein bhaari-pan sa mehsoos hota hai jab tez chalta hoon.
"Achanak dil bahut zor se dhadakne lagta hai, phir apne aap theek ho jata hai.",Cardiologist (Heart),Original
"Achanak dil bohot zor se dhadakne lagta hai, phir apne aap theek ho jata hai.",Cardiologist (Heart),"Spelling Variation of: Achanak dil bahut zor se dhadakne lagta hai, phir apne aap theek ho jata hai."
"Achanak dil bahot zor se dhadakne lagta hai, phir apne aap theek ho jata hai.",Cardiologist (Heart),"Spelling Variation of: Achanak dil bahut zor se dhadakne lagta hai, phir apne aap theek ho jata hai."
"Achanak dil kaafi zor se dhadakne lagta hai, phir apne aap theek ho jata hai.",Cardiologist (Heart),"Variation of: Achanak dil bahut zor se dhadakne lagta hai, phir apne aap theek ho jata hai."
Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.,Cardiologist (Heart),Original
Left arm mein ajeeb sa darad hota hai jo chest se shuru hota hai.,Cardiologist (Heart),Spelling Variation of: Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.
Left arm me ajeeb sa dard hota hai jo chest se shuru hota hai.,Cardiologist (Heart),Spelling Variation of: Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.
Left arm mein ajeeb sa takleef hota hai jo chest se shuru hota hai.,Cardiologist (Heart),Variation of: Left arm mein ajeeb sa dard hota hai jo chest se shuru hota hai.
Sidhi seedhi chadhte hi saans phoolne lagti hai aur chest tight lagta hai.,Cardiologist (Heart),Original
Raat ko sote waqt achanak ghabrahat ho jaati hai aur dil tez chalta hai.,Cardiologist (Heart),Original
"Doctor ne bataya BP bahut high hai, sar bhi bhaari rehta hai.",Cardiologist (Heart),Original
"daktar ne bataya BP bahut high hai, sar bhi bhaari rehta hai.",Cardiologist (Heart),"Spelling Variation of: Doctor ne bataya BP bahut high hai, sar bhi bhaari rehta hai."
"docter ne bataya BP bahut high hai, sar bhi bhaari rehta hai.",Cardiologist (Heart),"Spelling Variation of: Doctor ne bataya BP bahut high hai, sar bhi bhaari rehta hai."
"Doctor ne bataya BP bahut high hai, head bhi bhaari rehta hai.",Cardiologist (Heart),"Variation of: Doctor ne bataya BP bahut high hai, sar bhi bhaari rehta hai."
Thodi si mehnat karte hi thakaan aur chest mein jakadan feel hoti hai.,Cardiologist (Heart),Original
Thodi si mehnat karte hi thakaan aur chest me jakadan feel hoti hai.,Cardiologist (Heart),Spelling Variation of: Thodi si mehnat karte hi thakaan aur chest mein jakadan feel hoti hai.
"Ankle aur pairon mein soojan aa gayi hai, saans bhi phool jaati hai lete waqt.",Cardiologist (Heart),Original
"Ankle aur pairon me soojan aa gayi hai, saans bhi phool jaati hai lete waqt.",Cardiologist (Heart),"Spelling Variation of: Ankle aur pairon mein soojan aa gayi hai, saans bhi phool jaati hai lete waqt."
"Cholesterol report mein sab values high aayi hain, koi symptom nahi tha pehle.",Cardiologist (Heart),Original
"Cholesterol report mein sab values high aayi hain, koi symptom nahin tha pehle.",Cardiologist (Heart),"Spelling Variation of: Cholesterol report mein sab values high aayi hain, koi symptom nahi tha pehle."
"Cholesterol report mein sab values high aayi hain, koi symptom nhi tha pehle.",Cardiologist (Heart),"Spelling Variation of: Cholesterol report mein sab values high aayi hain, koi symptom nahi tha pehle."
"Chest mein jalan si hoti hai jo lagta hai gas nahi hai, kuch aur hai.",Cardiologist (Heart),Original
"Chest mein jalan si hoti hai jo lagta hai gas nahin hai, kuch aur hai.",Cardiologist (Heart),"Spelling Variation of: Chest mein jalan si hoti hai jo lagta hai gas nahi hai, kuch aur hai."
"Chest mein jalan si hoti hai jo lagta hai gas nhi hai, kuch aur hai.",Cardiologist (Heart),"Spelling Variation of: Chest mein jalan si hoti hai jo lagta hai gas nahi hai, kuch aur hai."
"Palpitations hoti hain, jaise dil ek beat miss kar deta hai.",Cardiologist (Heart),Original
"Family mein heart disease history hai, mujhe bhi checkup karana hai.",Cardiologist (Heart),Original
"Family me heart disease history hai, mujhe bhi checkup karana hai.",Cardiologist (Heart),"Spelling Variation of: Family mein heart disease history hai, mujhe bhi checkup karana hai."
Chalte chalte pairo mein dard hota hai jo rukne se turant theek ho jata hai.,Cardiologist (Heart),Original
Chalte chalte pairo mein darad hota hai jo rukne se turant theek ho jata hai.,Cardiologist (Heart),Spelling Variation of: Chalte chalte pairo mein dard hota hai jo rukne se turant theek ho jata hai.
Chalte chalte pairo me dard hota hai jo rukne se turant theek ho jata hai.,Cardiologist (Heart),Spelling Variation of: Chalte chalte pairo mein dard hota hai jo rukne se turant theek ho jata hai.
Chalte chalte pairo mein takleef hota hai jo rukne se turant theek ho jata hai.,Cardiologist (Heart),Variation of: Chalte chalte pairo mein dard hota hai jo rukne se turant theek ho jata hai.
"Bahut pasina aa raha tha aur chest mein bhari darad, ghabra gaya tha.",Cardiologist (Heart),Original
"Bahut pasina aa raha tha aur chest mein bhari dard, ghabra gaya tha.",Cardiologist (Heart),"Spelling Variation of: Bahut pasina aa raha tha aur chest mein bhari darad, ghabra gaya tha."
"bohot pasina aa raha tha aur chest mein bhari darad, ghabra gaya tha.",Cardiologist (Heart),"Spelling Variation of: Bahut pasina aa raha tha aur chest mein bhari darad, ghabra gaya tha."
"kaafi pasina aa raha tha aur chest mein bhari darad, ghabra gaya tha.",Cardiologist (Heart),"Variation of: Bahut pasina aa raha tha aur chest mein bhari darad, ghabra gaya tha."
dil ka doctor chahiye,Cardiologist (Heart),Specialist Term
dil ka daktar chahiye,Cardiologist (Heart),Spelling Variation of: dil ka doctor chahiye
dil ka docter chahiye,Cardiologist (Heart),Spelling Variation of: dil ka doctor chahiye
heart specialist se milna hai,Cardiologist (Heart),Specialist Term
cardiac doctor ko dikhana hai,Cardiologist (Heart),Specialist Term
cardiac daktar ko dikhana hai,Cardiologist (Heart),Spelling Variation of: cardiac doctor ko dikhana hai
cardiac docter ko dikhana hai,Cardiologist (Heart),Spelling Variation of: cardiac doctor ko dikhana hai
dil ki bimari ka daktar,Cardiologist (Heart),Specialist Term
dil ki bimaari ka daktar,Cardiologist (Heart),Spelling Variation of: dil ki bimari ka daktar
heart checkup karwana hai,Cardiologist (Heart),Specialist Term
seene mein dard,Cardiologist (Heart),Keyword Phrase
seene mein darad,Cardiologist (Heart),Spelling Variation of: seene mein dard
seene me dard,Cardiologist (Heart),Spelling Variation of: seene mein dard
chest pain,Cardiologist (Heart),Keyword Phrase
dil ki dhadkan tez,Cardiologist (Heart),Keyword Phrase
heart attack jaisa,Cardiologist (Heart),Keyword Phrase
saans phoolna,Cardiologist (Heart),Keyword Phrase
BP high,Cardiologist (Heart),Keyword Phrase
cholesterol zyada,Cardiologist (Heart),Keyword Phrase
cholesterol jyada,Cardiologist (Heart),Spelling Variation of: cholesterol zyada
cholesterol jyaada,Cardiologist (Heart),Spelling Variation of: cholesterol zyada
dil ghabrana,Cardiologist (Heart),Keyword Phrase
Baaye haath mein ajeeb sa darad hota hai kabhi kabhi,Cardiologist (Heart),Spelling Variation of: Baaye haath mein ajeeb sa dard hota hai kabhi kabhi
Baaye haath mein ajeeb sa dard hota hai kabhi kabhi,Cardiologist (Heart),Original
Bina kisi lakshan ke cholesterol level high aa raha hai check-up mein.,Cardiologist (Heart),"Variation of: Koi symptoms nahi dikhte, lekin cholesterol zyada hai reports mein."
Cardiac daktar,Cardiologist (Heart),Spelling Variation of: Cardiac doctor
Cardiac docter,Cardiologist (Heart),Spelling Variation of: Cardiac doctor
Cardiac doctor,Cardiologist (Heart),Specialist Term
