text,specialist,type
Baaye haath mein ajeeb sa darad hota hai kabhi kabhi,Cardiologist,Spelling Variation of: Baaye haath mein ajeeb sa dard hota hai kabhi kabhi
Baaye haath mein ajeeb sa dard hota hai kabhi kabhi,Cardiologist,Original
Bina kisi lakshan ke cholesterol level high aa raha hai check-up mein.,Cardiologist,"Variation of: Koi symptoms nahi dikhte, lekin cholesterol zyada hai reports mein."
Cardiac daktar,Cardiologist,Spelling Variation of: Cardiac doctor
Cardiac docter,Cardiologist,Spelling Variation of: Cardiac doctor
Cardiac doctor,Cardiologist,Specialist Term
"Chalte waqt pairon mein darad hota hai, rukne se aaraam milta hai",Cardiologist,"Spelling Variation of: Chalte waqt pairon mein dard hota hai, rukne se aaram milta hai"
"Chalte waqt pairon mein dard hota hai, rukne se aaram milta hai",Cardiologist,Original
"Chalte waqt seene mein dabaav sa mehsoos hota hai, rukne se theek ho jata hai",Cardiologist,Original
"Chalte waqt seene mein dabav sa mehsoos hota hai, rukne se theek ho jata hai",Cardiologist,"Spelling Variation of: Chalte waqt seene mein dabaav sa mehsoos hota hai, rukne se theek ho jata hai"
chest mai darad ho raha hai,Cardiologist,Spelling Variation of: chest mai dard ho raha hai
chest mai dard ho raha hai,Cardiologist,Original
Chest me heavypan lagta hai ya achanak tez darad hota hai.,Cardiologist,Spelling Variation of: Chest me heavypan lagta hai ya achanak tez dard hota hai.
Chest me heavypan lagta hai ya achanak tez dard hota hai.,Cardiologist,Original
chest mein bhaari-pan lag raha hai,Cardiologist,Variation of: chest mai dard ho raha hai
dil bechain ho raha hai,Cardiologist,Variation of: dil ghabra raha hai
Dil bina wajah zor zor se dhadakne lagta hai.,Cardiologist,Variation of: Dil ki dhadkan achanak se bahut tez ho jaati hai.
dil ghabra raha hai,Cardiologist,Original
Dil ka daktar,Cardiologist,Spelling Variation of: Dil ka doctor
Dil ka docter,Cardiologist,Spelling Variation of: Dil ka doctor
Dil ka doctor,Cardiologist,Specialist Term
Dil ke docter saab,Cardiologist,Spelling Variation of: Dil ke doctor sahab
Dil ke doctor saab,Cardiologist,Spelling Variation of: Dil ke doctor sahab
Dil ke doctor sahab,Cardiologist,Specialist Term
Dil ki bimaari ka doctor,Cardiologist,Spelling Variation of: Dil ki bimari ka doctor
Dil ki bimari ka docter,Cardiologist,Spelling Variation of: Dil ki bimari ka doctor
Dil ki bimari ka doctor,Cardiologist,Specialist Term
Dil ki dhadkan achanak se bahut tez ho jaati hai.,Cardiologist,Original
Dil ki dhadkan achanak se bohot tez ho jaati hai.,Cardiologist,Spelling Variation of: Dil ki dhadkan achanak se bahut tez ho jaati hai.
dil ki dhadkan tez hai,Cardiologist,Original
Dil ruk ruk ke dhadakta hai kabhi kabhee,Cardiologist,Spelling Variation of: Dil ruk ruk ke dhadakta hai kabhi kabhi
Dil ruk ruk ke dhadakta hai kabhi kabhi,Cardiologist,Original
Evening tak legs mein swelling ban jaati hai,Cardiologist,Variation of: Pairon mein soojan rehti hai shaam tak
"Head heavy rehta hai aur neck ke peeche pain hota hai, blood pressure check karana hai",Cardiologist,"Variation of: Sar bhaari rehta hai aur gardan ke peeche dard hota hai, BP check karwana hai"
Heart ka specialist,Cardiologist,Spelling Variation of: Heart specialist
Heart specialist,Cardiologist,Specialist Term
"Heartbeat kabhi kabhi irregular ho jaati hai, ruk ruk ke chalti hai",Cardiologist,Variation of: Dil ruk ruk ke dhadakta hai kabhi kabhi
heartbeat tez chal rahi hai,Cardiologist,Variation of: dil ki dhadkan tez hai
"Jyada chalne par sans phool jaati hai, dam ghutney jaisa lagta hai.",Cardiologist,"Spelling Variation of: Zyada chalne par saans phool jaati hai, dam ghutne jaisa lagta hai."
"Koi symptoms nahi dikhte, lekin cholesterol jyada hai reports mein.",Cardiologist,"Spelling Variation of: Koi symptoms nahi dikhte, lekin cholesterol zyada hai reports mein."
"Koi symptoms nahi dikhte, lekin cholesterol zyada hai reports mein.",Cardiologist,Original
Left arm mein kabhi kabhi ajeeb dard mehsoos hota hai,Cardiologist,Variation of: Baaye haath mein ajeeb sa dard hota hai kabhi kabhi
Neend mein achanak breathlessness feel hoti hai,Cardiologist,Variation of: Sote waqt achanak saans phoolne lagti hai
Pairon mein soojan rehti hai shaam tak,Cardiologist,Original
Pairon mein sujan rehti hai shaam tak,Cardiologist,Spelling Variation of: Pairon mein soojan rehti hai shaam tak
saans phool jaati hai thodi der chalne se,Cardiologist,Variation of: saans phoolti hai
saans phoolti hai,Cardiologist,Original
sans phool jaati hai thodi der chalne se,Cardiologist,Spelling Variation of: saans phool jaati hai thodi der chalne se
sans phoolti hai,Cardiologist,Spelling Variation of: saans phoolti hai
"Sar bhaari rehta hai aur gardan ke peeche dard hota hai, BP check karwana hai",Cardiologist,Original
"Sar bhari rehta hai aur gardan ke peeche darad hota hai, BP check karwana hai",Cardiologist,"Spelling Variation of: Sar bhaari rehta hai aur gardan ke peeche dard hota hai, BP check karwana hai"
Seedhi chadhte waqt seene mein bhaari-pan lagta hai,Cardiologist,Original
Seedhi chadhte waqt seene mein bhari-pan lagta hai,Cardiologist,Spelling Variation of: Seedhi chadhte waqt seene mein bhaari-pan lagta hai
seenay mai darad hai,Cardiologist,Spelling Variation of: seene mai dard hai
Seenay me achanak jakadan ya teekha darad uthta hai.,Cardiologist,Spelling Variation of: Seene me achanak jakadan ya teekha dard uthta hai.
seenay mein darad ho raha hai,Cardiologist,Spelling Variation of: seene mein dard ho raha hai
seene mai dard hai,Cardiologist,Original
Seene me achanak jakadan ya teekha dard uthta hai.,Cardiologist,Variation of: Chest me heavypan lagta hai ya achanak tez dard hota hai.
seene mein dard ho raha hai,Cardiologist,Variation of: seene mai dard hai
Sote waqt achanak saans phoolne lagti hai,Cardiologist,Original
Sote waqt achanak sans phoolne lagti hai,Cardiologist,Spelling Variation of: Sote waqt achanak saans phoolne lagti hai
Stairs chadhte waqt chest mein heaviness feel hoti hai,Cardiologist,Variation of: Seedhi chadhte waqt seene mein bhaari-pan lagta hai
Thoda sa chalne par bhi saas phoolne lagti hai.,Cardiologist,Original
"Walking ke time chest mein pressure jaisa feel hota hai, rest karne se theek ho jaata hai",Cardiologist,"Variation of: Chalte waqt seene mein dabaav sa mehsoos hota hai, rukne se theek ho jata hai"
"Walking ke time legs mein pain hota hai, resting se relief milta hai",Cardiologist,"Variation of: Chalte waqt pairon mein dard hota hai, rukne se aaram milta hai"
"Zyada chalne par saans phool jaati hai, dam ghutne jaisa lagta hai.",Cardiologist,Variation of: Thoda sa chalne par bhi saas phoolne lagti hai.
Back wala tooth erupt ho raha hai aur bahut pain ho raha hai,Dentist,Variation of: Peeche wala daant nikal raha hai aur bahut dard ho raha hai
cavity ho gayi hai,Dentist,Original
Cold ya hot cheezein khane par daant mein sensitivity hoti hai,Dentist,Variation of: Thande ya garam cheez khane se jhun-jhunahat hoti hai daant mein
daant chatak gaya hai,Dentist,Variation of: dant tuta hua hai
daant dukh raha hai,Dentist,Original
Daant ka doctor,Dentist,Specialist Term
Daant ke neeche soojan hai aur pus jama ho gaya lagta hai,Dentist,Original
daant mein dard ho raha hai,Dentist,Variation of: dant mai dard hai
daant mein keeda lag gaya hai,Dentist,Variation of: cavity ho gayi hai
daant mein takleef hai,Dentist,Variation of: daant dukh raha hai
daant mein zor ka dard hai,Dentist,Variation of: teeth mai bahut dard hai
Daant tedhe-medhe lag rahe hain,Dentist,Original
Daant waale doctor,Dentist,Spelling Variation of: Daant wale doctor
Daant wale doctor,Dentist,Specialist Term
Daanton ka specialist,Dentist,Specialist Term
Daanton wala specialist,Dentist,Spelling Variation of: Daanton ka specialist
dant chatak gaya hai,Dentist,Spelling Variation of: daant chatak gaya hai
dant dukh raha hai,Dentist,Spelling Variation of: daant dukh raha hai
Dant ka docter,Dentist,Spelling Variation of: Daant ka doctor
Dant ka doctor,Dentist,Spelling Variation of: Daant ka doctor
Dant ke niche sujan hai aur pus jama ho gaya lagta hai,Dentist,Spelling Variation of: Daant ke neeche soojan hai aur pus jama ho gaya lagta hai
dant mai darad hai,Dentist,Spelling Variation of: dant mai dard hai
dant mai dard hai,Dentist,Original
dant mein darad ho raha hai,Dentist,Spelling Variation of: daant mein dard ho raha hai
dant mein keeda lag gaya hai,Dentist,Spelling Variation of: daant mein keeda lag gaya hai
dant mein takleef hai,Dentist,Spelling Variation of: daant mein takleef hai
dant mein zor ka darad hai,Dentist,Spelling Variation of: daant mein zor ka dard hai
Dant tedhe-medhe lag rahe hain,Dentist,Spelling Variation of: Daant tedhe-medhe lag rahe hain
dant tuta hua hai,Dentist,Original
Dant wale docter,Dentist,Spelling Variation of: Daant wale doctor
Dental daktar,Dentist,Spelling Variation of: Dental doctor
Dental docter,Dentist,Spelling Variation of: Dental doctor
Dental doctor,Dentist,Specialist Term
gums se bleeding ho rahi hai,Dentist,Variation of: masudo se khoon aa raha hai
Hamesha mooh se smell aati rehti hai,Dentist,Variation of: Munh se badbu aati hai hamesha
Jabde mein clicking ki aawaz aati hai,Dentist,Spelling Variation of: Jabde mein clicking ki awaaz aati hai
Jabde mein clicking ki awaaz aati hai,Dentist,Original
masudo se khoon aa raha hai,Dentist,Original
Mooh kholte waqt jaw se click jaisi sound aati hai,Dentist,Variation of: Jabde mein clicking ki awaaz aati hai
mooh mai chala hai,Dentist,Original
mooh mein ulcer ho gaya hai,Dentist,Variation of: mooh mai chala hai
muh mai chala hai,Dentist,Spelling Variation of: mooh mai chala hai
muh mein ulcer ho gaya hai,Dentist,Spelling Variation of: mooh mein ulcer ho gaya hai
Munh se badboo aati hai hamesha,Dentist,Spelling Variation of: Munh se badbu aati hai hamesha
Munh se badbu aati hai hamesha,Dentist,Original
"Neend mein daant pisne ki aadat hai, subah jabda dukhta hai",Dentist,Original
"Neend mein dant pisne ki aadat hai, subah jabda dukhta hai",Dentist,"Spelling Variation of: Neend mein daant pisne ki aadat hai, subah jabda dukhta hai"
Peeche wala daant nikal raha hai aur bahut dard ho raha hai,Dentist,Original
Peeche wala dant nikal raha hai aur bohot darad ho raha hai,Dentist,Spelling Variation of: Peeche wala daant nikal raha hai aur bahut dard ho raha hai
"Sleep mein teeth grinding hoti hai, morning mein jaw dukhta hai",Dentist,"Variation of: Neend mein daant pisne ki aadat hai, subah jabda dukhta hai"
Teeth ki alignment sahi nahi lagti,Dentist,Variation of: Daant tedhe-medhe lag rahe hain
teeth mai bahut dard hai,Dentist,Original
teeth mai bohot darad hai,Dentist,Spelling Variation of: teeth mai bahut dard hai
Thande ya garam cheez khane se jhun-jhunahat hoti hai daant mein,Dentist,Original
Thande ya garam cheez khane se jhunjhunahat hoti hai dant mein,Dentist,Spelling Variation of: Thande ya garam cheez khane se jhun-jhunahat hoti hai daant mein
Tooth ke roots ke paas swelling hai aur pus collect ho gaya lagta hai,Dentist,Variation of: Daant ke neeche soojan hai aur pus jama ho gaya lagta hai
Baal aur skin ka daktar,Dermatologist,Spelling Variation of: Baal aur skin ka doctor
Baal aur skin ka docter,Dermatologist,Spelling Variation of: Baal aur skin ka doctor
Baal aur skin ka doctor,Dermatologist,Specialist Term
baal jhad rahe hain,Dermatologist,Original
badan mein khujali ho rahi hai,Dermatologist,Spelling Variation of: badan mein khujli ho rahi hai
badan mein khujli ho rahi hai,Dermatologist,Variation of: khaarish ho rahi hai
Bina kisi wajah ke bahut zyada pasina aata hai.,Dermatologist,Original
Bina kisi wajah ke bohot jyada pasina aata hai.,Dermatologist,Spelling Variation of: Bina kisi wajah ke bahut zyada pasina aata hai.
"Bohot jyada hair fall ho raha hai, baal patle ho rahe hain.",Dermatologist,"Spelling Variation of: Bohot zyada hair fall ho raha hai, baal patle ho rahe hain."
"Bohot zyada hair fall ho raha hai, baal patle ho rahe hain.",Dermatologist,Original
Chehre par bohot jyada pimples/acne ho gaye hain aur daag chhod rahe hain.,Dermatologist,Spelling Variation of: Chehre par bohot zyada pimples/acne ho gaye hain aur daag chhod rahe hain.
Chehre par bohot zyada pimples/acne ho gaye hain aur daag chhod rahe hain.,Dermatologist,Original
chehre pe daane nikal aaye hain,Dermatologist,Original
Dhoop mein jaate hi skin pe chakatte ho jaate hain,Dermatologist,Original
Dhup mein jaate hi skin pe chakatte ho jaate hain,Dermatologist,Spelling Variation of: Dhoop mein jaate hi skin pe chakatte ho jaate hain
Ek hi jagah baar baar phunsee ho jaati hai,Dermatologist,Spelling Variation of: Ek hi jagah baar baar phunsi ho jaati hai
Ek hi jagah baar baar phunsi ho jaati hai,Dermatologist,Original
"Face par muhaase bahut ho gaye hain, marks bhi reh jaate hain.",Dermatologist,Variation of: Chehre par bohot zyada pimples/acne ho gaye hain aur daag chhod rahe hain.
"Face par muhaase bohot ho gaye hain, marks bhi reh jaate hain.",Dermatologist,"Spelling Variation of: Face par muhaase bahut ho gaye hain, marks bhi reh jaate hain."
face pe pimples ho gaye hain,Dermatologist,Variation of: chehre pe daane nikal aaye hain
"Groin ya armpits mein red, circular patches ban gaye hain jisme itching hoti hai",Dermatologist,"Variation of: Groin ya underarms mein laal, gol chakatte ho gaye hain jisme khujli hoti hai"
"Groin ya underarms mein laal, gol chakatte ho gaye hain jisme khujli hoti hai",Dermatologist,Original
"Groin ya underarms mein lal, gol chakatte ho gaye hain jisme khujali hoti hai",Dermatologist,"Spelling Variation of: Groin ya underarms mein laal, gol chakatte ho gaye hain jisme khujli hoti hai"
hairfall ho raha hai,Dermatologist,Variation of: baal jhad rahe hain
Kanghi karte waqt bahut baal tootne lagte hain.,Dermatologist,"Variation of: Bohot zyada hair fall ho raha hai, baal patle ho rahe hain."
Kanghi karte waqt bohot baal tootne lagte hain.,Dermatologist,Spelling Variation of: Kanghi karte waqt bahut baal tootne lagte hain.
khaarish ho rahi hai,Dermatologist,Original
Naakhoon peele ya mote ho gaye hain,Dermatologist,Original
Nails ka color yellow ho gaya hai aur thickness badh gayi hai,Dermatologist,Variation of: Naakhoon peele ya mote ho gaye hain
Nakhun peele ya mote ho gaye hain,Dermatologist,Spelling Variation of: Naakhoon peele ya mote ho gaye hain
Normal se kahin jyada pasina aata hai bina garmi ke bhi.,Dermatologist,Spelling Variation of: Normal se kahin zyada pasina aata hai bina garmi ke bhi.
Normal se kahin zyada pasina aata hai bina garmi ke bhi.,Dermatologist,Variation of: Bina kisi wajah ke bahut zyada pasina aata hai.
rash ho gaya hai,Dermatologist,Original
Same spot par recurring pimple ban jaata hai,Dermatologist,Variation of: Ek hi jagah baar baar phunsi ho jaati hai
"Skin bahut dry aur khujali wali ho gayi hai, chilne lagti hai",Dermatologist,"Spelling Variation of: Skin bahut dry aur khujli wali ho gayi hai, chhilne lagti hai"
"Skin bahut dry aur khujli wali ho gayi hai, chhilne lagti hai",Dermatologist,Original
Skin daktar,Dermatologist,Spelling Variation of: Skin doctor
Skin docter,Dermatologist,Spelling Variation of: Skin doctor
Skin doctor,Dermatologist,Specialist Term
"Skin extremely dry aur itchy ho gayi hai, peeling bhi ho rahi hai",Dermatologist,"Variation of: Skin bahut dry aur khujli wali ho gayi hai, chhilne lagti hai"
Skin ka specialist,Dermatologist,Spelling Variation of: Skin specialist
skin lal ho gayi hai,Dermatologist,Original
skin mai khujali ho rahi hai,Dermatologist,Spelling Variation of: skin mai khujli ho rahi hai
skin mai khujli ho rahi hai,Dermatologist,Original
skin mein bahut khujli hoti hai,Dermatologist,Variation of: skin mai khujli ho rahi hai
skin mein bohot khujali hoti hai,Dermatologist,Spelling Variation of: skin mein bahut khujli hoti hai
Skin par achanak se rashes aur bohot khujali ho rahi hai.,Dermatologist,Spelling Variation of: Skin par achanak se rashes aur bohot khujli ho rahi hai.
Skin par achanak se rashes aur bohot khujli ho rahi hai.,Dermatologist,Original
"Skin par laal-laal chakatte pad gaye hain, bahut khujli hoti hai.",Dermatologist,Variation of: Skin par achanak se rashes aur bohot khujli ho rahi hai.
"Skin par laal-laal chakatte pad gaye hain, bohot khujali hoti hai.",Dermatologist,"Spelling Variation of: Skin par laal-laal chakatte pad gaye hain, bahut khujli hoti hai."
Skin par tiny grain jaise raised bumps nikal aaye hain,Dermatologist,Variation of: Skin pe chhote chhote dane jaise ubhaar aa gaye hain
Skin par white layer jaisi build up hoti hai aur itching bhi hoti hai,Dermatologist,Variation of: Skin pe safed parat jaisi jamm jaati hai aur khujli hoti hai
skin pe chakatte ho gaye hain,Dermatologist,Variation of: rash ho gaya hai
Skin pe chhote chhote dane jaise ubhaar aa gaye hain,Dermatologist,Original
Skin pe chote chote dane jaise ubhaar aa gaye hain,Dermatologist,Spelling Variation of: Skin pe chhote chhote dane jaise ubhaar aa gaye hain
skin pe laalpan aa gaya hai,Dermatologist,Variation of: skin lal ho gayi hai
